angle	0deg				15deg		30deg		45deg		60deg	
detector position	x,y,z = 0.00000E+00 0.00000E+00 1.00000E+02				x,y,z = 2.58819E+01 0.00000E+00 9.65926E+01		x,y,z = 5.00000E+01 0.00000E+00 8.66025E+01		x,y,z = 7.07107E+01 0.00000E+00 7.07107E+01		x,y,z = 8.66025E+01 0.00000E+00 5.00000E+01	
	Energy		Fluence	SD	Fluence	SD	Fluence	SD	Fluence	SD	Fluence	SD
	min	max	cm-2		cm-2		cm-2		cm-2		cm-2	
	0.00E+00	2.50E-03	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0
	2.50E-03	5.00E-03	2.13E-18	0.7333	2.15E-18	0.7321	2.17E-18	0.731	2.18E-18	0.7303	2.17E-18	0.7293
	5.00E-03	7.50E-03	4.39E-18	0.4479	4.44E-18	0.4477	4.48E-18	0.4477	4.70E-18	0.4304	3.51E-18	0.5008
	7.50E-03	1.00E-02	1.38E-17	0.2697	1.29E-17	0.2798	1.19E-17	0.2744	1.25E-17	0.2645	1.17E-17	0.2738
	1.00E-02	1.25E-02	1.12E-17	0.2683	1.21E-17	0.2592	1.27E-17	0.2723	1.14E-17	0.2931	1.29E-17	0.3024
	1.25E-02	1.50E-02	1.66E-17	0.2188	1.66E-17	0.2189	1.75E-17	0.2113	1.72E-17	0.2139	1.72E-17	0.2113
	1.50E-02	1.75E-02	1.94E-17	0.2215	2.01E-17	0.2165	2.00E-17	0.2165	1.99E-17	0.2161	2.11E-17	0.207
	1.75E-02	2.00E-02	1.69E-17	0.2288	1.69E-17	0.2287	1.77E-17	0.223	1.79E-17	0.227	1.57E-17	0.2446
	2.00E-02	2.25E-02	2.66E-17	0.1786	2.67E-17	0.1786	2.65E-17	0.1785	2.72E-17	0.1847	2.69E-17	0.1845
	2.25E-02	2.50E-02	2.26E-17	0.1896	2.32E-17	0.1862	2.30E-17	0.1924	2.27E-17	0.1923	2.22E-17	0.1974
	2.50E-02	2.75E-02	3.91E-17	0.1513	3.86E-17	0.1502	3.82E-17	0.1532	3.73E-17	0.1551	3.78E-17	0.1533
	2.75E-02	3.00E-02	2.39E-17	0.1862	2.12E-17	0.1966	1.96E-17	0.2047	1.93E-17	0.205	1.96E-17	0.2046
	3.00E-02	3.25E-02	4.05E-17	0.149	4.28E-17	0.1445	4.23E-17	0.1472	4.15E-17	0.1447	3.81E-17	0.1491
	3.25E-02	3.50E-02	6.87E-17	0.115	7.31E-17	0.1136	7.37E-17	0.1122	6.93E-17	0.1168	6.96E-17	0.1176
	3.50E-02	3.75E-02	6.35E-17	0.1178	5.56E-17	0.124	5.47E-17	0.1253	5.44E-17	0.124	5.01E-17	0.1284
	3.75E-02	4.00E-02	4.82E-17	0.1281	5.24E-17	0.1227	5.11E-17	0.1255	5.18E-17	0.1256	5.11E-17	0.1263
	4.00E-02	4.25E-02	4.89E-17	0.1337	4.89E-17	0.133	4.47E-17	0.1389	4.39E-17	0.1386	4.24E-17	0.1392
	4.25E-02	4.50E-02	4.26E-17	0.141	3.92E-17	0.1459	4.69E-17	0.1342	4.54E-17	0.1367	4.49E-17	0.1363
	4.50E-02	4.75E-02	5.27E-17	0.1263	5.49E-17	0.1226	4.91E-17	0.1296	5.22E-17	0.1246	5.47E-17	0.1196
	4.75E-02	5.00E-02	5.52E-17	0.1234	5.42E-17	0.1263	5.73E-17	0.1241	5.70E-17	0.1232	5.45E-17	0.1289
	5.00E-02	5.25E-02	5.27E-17	0.131	5.46E-17	0.1274	5.20E-17	0.1305	5.01E-17	0.1348	5.04E-17	0.1329
	5.25E-02	5.50E-02	5.78E-17	0.122	5.67E-17	0.1244	5.92E-17	0.1209	6.08E-17	0.1183	6.10E-17	0.1164
	5.50E-02	5.75E-02	7.28E-17	0.1059	6.75E-17	0.1102	6.60E-17	0.1115	6.32E-17	0.1138	6.06E-17	0.1153
